pagenation	region	hpatitisc-incidence	heptitisc-ir	heptitisc-death	heptitisc-dr	heptitisb-incidence	heptitisb-death	heptitisb-ir	heptitisb-dr	hepatitise-incidence	hepatitise-death	hepatitise-ir	hepatitise-dr	hepatitisa-incidence	hepatitisa-death	hepatitisa-ir	hepatitisa-dr	hepatitis-incidence	hepatitis-death	hepatitis-ir	hepatitis-dr	hepatitisun-incidence	hepatitisun-death	hepatitisun-ir	hepatitisun-dr
2014-01	新疆	1053	4.6504	0		3388	1	14.9627	0.0044	21	0	0.0927		347	0	1.5325		4881	1	21.5563	0.0044	72	0	0.318	
2015-10	河北省	702	0.9507	0		4675	2	6.3315	0.0027	60	0	0.0813		34	0	0.046		5537	2	7.4989	0.0027	66	0	0.0894	
2012-02	西    藏	5	0.1648	0		55	0	1.8133						8	0	0.2638		68	0	2.2419					
2011-12	上海市	40	0.1738	0		357	0	1.5509		45	0	0.1955		28	0	0.1216		508	0	2.2069		38	0	0.1651	
2005-12	广东省	313	0.3428	0		5981	11	6.551	0.012	65	0	0.0712		122	0	0.1336		6703	11	7.3418	0.012	222	0	0.2432	
2013-12	广    西	746	1.5933	0		2827	2	6.038	0.0043	93	0	0.1986		42	0	0.0897		3887	2	8.302	0.0043	179	0	0.3823	
2008-05	江苏省	160	0.2098	0		1544	1	2.0249	0.0013	231	0	0.303		172	0	0.2256		2446	1	3.2079	0.0013	339	0	0.4446	
2008-03	山西省	412	1.2143	1	0.0029	3949	1	11.6387	0.0029	14	0	0.0413		112	0	0.3301		4610	2	13.5868	0.0059	123	0	0.3625	
2006-12	贵州省	79	0.2118	0		1513	2	4.0563	0.0054	4	0	0.0107		355	0	0.9517		2040	2	5.4692	0.0054	89	0	0.2386	
2009-04	河南省	2009	2.1307	4	0.0042	14358	3	15.2275	0.0032	54	0	0.0573		369	0	0.3913		16910	7	17.934	0.0074	120	0	0.1273	
