地 区	发病数	死亡数	发病率	死亡率	time
浙江省	37	0	0.0723		2009-10
重庆市	4	0	0.0134		2016-12
山东省	4	0	0.0042		2012-04
全国	1302	2	0.0975	0.0001	2010-01
吉林省	3	0	0.011		2009-10
重庆市	1	0	0.0034		2012-10
江苏省	129	0	0.167		2010-04
新疆	157	1	0.6934	0.0044	2014-06
重庆市	1	0	0.0035		2009-11
甘肃省	1	0	0.0039		2013-11
宁夏	25	0	0.4128		2009-06
海南省	1	0	0.0117		2009-08
四川省	20	0	0.0248		2013-09
江苏省	10	0	0.0126		2016-09
陕西省	347	0	0.9365		2005-06
西藏	37	0	1.1652		2016-03
北京市	37	0	0.175		2014-09
云南省	36	0	0.0768		2014-02
内蒙古	1	0	0.004		2012-06
广东省	398	0	0.417		2009-03
贵州省	1	0	0.0029		2015-11
福建省	87	0	0.2461		2006-09
浙江省	277	0	0.5655		2006-04
贵州省	23	0	0.0617		2006-04
河北省	1466	0	1.9993		2014-03
浙江省	134	0	0.2617		2009-07
贵州省	67	0	0.1796		2006-11
陕西省	6	0	0.0159		2014-08
北京市	220	0	1.432		2005-07
云南省	2	0	0.0044		2010-11
江西省	70	0	0.1636		2005-08
新疆	42	0	0.1946		2010-05
西藏	34	0	1.2404		2005-01
吉林省	10	0	0.0363		2015-02
上海市	47	0	0.2447		2010-04
安徽省	290	0	0.4727		2009-07
海南省	3	0	0.0332		2015-04
湖南省	617	0	0.9753		2006-03
新疆	38	0	0.176		2010-06
陕西省	1	0	0.0027		2011-11
湖北省	345	0	0.6042		2006-05
黑龙江省	2	0	0.0052		2012-12
山东省	218	0	0.224		2014-02
江苏省	8	0	0.0101		2014-10
上海市	17	0	0.0714		2013-09
安徽省	9	0	0.0151		2012-10
浙江省	242	0	0.4394		2015-05
河北省	2	0	0.0028		2012-09
湖南省	13	0	0.0203		2010-02
海南省	3	0	0.0355		2008-08
甘肃省	45	0	0.1727		2007-01
广西	1	0	0.0021		2010-01
建设兵团	4	0	0.1555		2009-01
北京市	5	0	0.0255		2011-06
北京市	62	0	0.4036		2005-10
山东省	191	0	0.2017		2010-06
湖南省	96	0	0.1511		2008-09
宁夏	7	0	0.1058		2016-05
陕西省	56	0	0.1485		2010-09
陕西省	5	0	0.0132		2015-09
天津市	6	0	0.0646		2004-08
内蒙古	1	0	0.0041		2009-10
贵州省	89	0	0.2369		2007-06
山西省	15	0	0.0417		2012-12
建设兵团	7	0	0.272		2009-05
浙江省	27	0	0.0554		2005-10
上海市	21	0	0.1182		2005-12
建设兵团	26	0	0.9625		2014-05
重庆市	302	0	1.0096		2015-01
陕西省	3	0	0.008		2009-09
黑龙江省	2	0	0.0053		2004-06
天津市	36	0	0.3229		2008-07
山东省	121	0	0.13		2007-02
上海市	46	0	0.3438		2004-05
建设兵团	2	0	0.0778		2006-05
北京市	5	0	0.0232		2016-12
湖北省	482	1	0.8467	0.0018	2007-02
北京市	255	0	1.658		2006-02
贵州省	4	0	0.0115		2013-07
河北省	97	0	0.1314		2015-07
辽宁省	2	0	0.0046		2010-11
全国	676	0	0.0502		2012-06
广西	7	0	0.0152		2011-03
西藏	64	0	2.3099		2006-10
建设兵团	2	0	0.0787		2005-03
福建省	2	0	0.0055		2009-09
江苏省	485	0	0.6503		2005-07
甘肃省	226	0	0.8723		2015-06
山西省	11	0	0.0323		2009-08
北京市	73	0	0.4746		2006-08
湖南省	7	0	0.0107		2011-06
宁夏	24	0	0.3839		2010-06
天津市	360	0	3.3488		2007-04
全国	2122	1	0.1557	0.0001	2016-01
新疆	13	0	0.0582		2013-12
山西省	387	0	1.1604		2005-01
甘肃省	7	0	0.0266		2009-10
新疆	184	0	0.8005		2015-06
湖南省	3	0	0.0045		2012-10
新疆	134	0	0.6537		2007-04
甘肃省	49	0	0.188		2007-07
陕西省	31	0	0.083		2007-10
全国	10766	4	0.7944	0.0003	2014-04
浙江省	297	0	0.587		2008-08
山西省	4	0	0.0112		2011-08
山西省	5	0	0.0146		2010-02
福建省	9	0	0.0236		2015-09
建设兵团	23	0	0.8416		2015-05
江西省	40	0	0.0881		2016-06
全国	4249	3	0.325	0.0002	2006-08
浙江省	25	0	0.0455		2014-12
浙江省	269	0	0.5402		2007-11
江苏省	2	0	0.0025		2013-11
海南省	2	0	0.0226		2013-02
西藏	1	0	0.0333		2011-01
河北省	847	0	1.1471		2015-05
广东省	330	0	0.4149		2004-02
新疆	1367	1	6.5251	0.0048	2008-05
广东省	2353	1	2.4902	0.0011	2008-06
福建省	11	0	0.0289		2015-02
福建省	26	1	0.0694	0.0027	2013-05
上海市	12	0	0.0675		2006-11
安徽省	327	0	0.5345		2008-07
河北省	179	0	0.2629		2005-01
浙江省	100	0	0.2042		2006-02
黑龙江省	6	0	0.0157		2008-08
山西省	184	0	0.5452		2007-01
天津市	17	0	0.1446		2009-02
山西省	9	0	0.0263		2010-11
广东省	1017	0	0.96		2013-06
北京市	214	0	1.2625		2009-05
辽宁省	130	0	0.3025		2008-06
宁夏	1	0	0.016		2010-11
江苏省	230	0	0.3016		2008-08
河南省	262	0	0.2762		2010-06
湖南省	25	0	0.0379		2012-12
湖南省	3	0	0.0046		2011-12
吉林省	2	0	0.0073		2016-11
福建省	2	0	0.0055		2010-08
广东省	1583	0	1.6753		2008-03
内蒙古	14	0	0.058		2009-01
江西省	259	0	0.5886		2009-06
新疆	12	0	0.0537		2013-08
河南省	667	2	0.7111	0.0021	2006-12
重庆市	369	0	1.3141		2007-03
贵州省	20	0	0.057		2015-05
内蒙古	1	0	0.004		2011-08
湖南省	4	0	0.0062		2010-10
重庆市	303	1	1.076	0.0036	2008-01
云南省	14	0	0.0306		2010-03
广西	1	0	0.0021		2016-11
山东省	445	0	0.4725		2009-04
内蒙古	5	0	0.0201		2012-07
陕西省	69	0	0.1841		2008-04
湖南省	279	0	0.4399		2007-12
江苏省	63	0	0.0821		2009-07
内蒙古	5	0	0.02		2014-10
北京市	4	0	0.0204		2011-09
宁夏	26	0	0.4017		2013-04
安徽省	48	0	0.0783		2010-07
河南省	1273	1	1.3643	0.0011	2005-05
广东省	22	0	0.0205		2016-01
上海市	75	0	0.3195		2012-07
四川省	84	0	0.1032		2016-03
四川省	13	0	0.016		2015-12
山东省	1	0	0.001		2012-11
黑龙江省	7	0	0.0183		2011-03
贵州省	143	0	0.3801		2008-06
陕西省	11	0	0.0293		2008-08
上海市	8	0	0.0441		2007-12
河南省	1463	1	1.5577	0.0011	2007-03
西藏	2	0	0.0766		2004-09
陕西省	1	0	0.0027		2012-09
广东省	2087	2	2.27	0.0022	2006-06
辽宁省	7	0	0.016		2011-03
重庆市	100	0	0.3522		2009-05
安徽省	45	0	0.0698		2004-10
