time	地 区	发病数	死亡数	发病率	死亡率
Mar-08	安徽省	17	0	0.0278	
Mar-06	新疆	17	0	0.0846	
May-04	贵州省	35	0	0.0916	
Nov-14	河南省	3	0	0.0032	
Sep-13	广东省	3	0	0.0028	
Jul-12	山东省	27	0	0.028	
Dec-15	湖北省	3	0	0.0052	
Feb-13	全国	134	0	0.0099	
Aug-08	山东省	15	0	0.016	
Nov-07	黑龙江省	1	0	0.0026	
Jun-06	陕西省	12	0	0.0323	
Feb-14	广东省	11	0	0.0103	
Aug-14	河南省	13	0	0.0138	
Jul-06	全国	375	0	0.0287	
Nov-04	山东省	7	0	0.0076	
Dec-05	云南省	4	0	0.0091	
Dec-10	浙江省	1	0	0.0019	
Nov-15	重庆市	14	0	0.0468	
Jan-07	福建省	4	0	0.0112	
Aug-05	江西省	20	0	0.0468	
Nov-14	天津市	41	0	0.2785	
Jun-06	天津市	6	0	0.0575	
Feb-08	河南省	4	0	0.0043	
Sep-13	云南省	4	0	0.0086	
Sep-06	河南省	6	0	0.0064	
Nov-04	贵州省	11	0	0.0288	
Feb-10	云南省	2	0	0.0044	
Jul-13	安徽省	5	0	0.0084	
Jan-10	山东省	10	0	0.0106	
Feb-14	贵州省	1	0	0.0029	
Jun-06	新疆	13	0	0.0647	
Oct-06	福建省	2	0	0.0057	
Oct-06	广西	2	0	0.0043	
Mar-05	吉林省	6	0	0.0221	
May-09	新疆	16	0	0.0751	
Oct-07	山东省	4	0	0.0043	
Nov-15	新疆	121	0	0.5264	
Apr-06	福建省	6	0	0.017	
Apr-06	天津市	3	0	0.0288	
Nov-14	新疆	27	0	0.1192	
Dec-10	河北省	14	0	0.0199	
Aug-12	四川省	29	0	0.036	
May-15	天津市	39	0	0.2571	
Mar-10	山东省	21	0	0.0222	
Feb-11	新疆	24	0	0.11	
Jun-07	广西	4	0	0.0085	
Mar-07	海南省	2	0	0.0239	
Jan-15	北京市	8	0	0.0372	
Mar-07	山西省	10	0	0.0296	
Sep-07	湖北省	1	0	0.0018	
Mar-15	重庆市	34	0	0.1137	
Mar-15	新疆	58	0	0.2523	
May-07	江苏省	15	0	0.0199	
Mar-05	湖南省	10	0	0.0159	
Jul-10	河北省	53	0	0.0753	
Feb-05	天津市	3	0	0.0288	
Oct-06	江西省	2	1	0.0046	0.0023
Jul-06	新疆	18	0	0.0896	
